order_id,customer_name,new_order_date,order_year,month_name,order_month,order_day,category,sub_category,net_sales,discount,profit,total_sales,profit_percentage,region,city
OD86,Willams,28-05-2018,2018,May,5,28,Oil & Masala,Spices,1469.01,0.25,659.99,2129,44.92753623,South,Dindigul
OD87,Sharon,26-10-2018,2018,October,10,26,Food Grains,Rice,1143.35,0.1,615.65,1759,53.84615385,Central,Theni
OD88,Ramesh,26-10-2018,2018,October,10,26,"Eggs, Meat & Fish",Eggs,997.8,0.26,665.2,1663,66.66666667,Central,Viluppuram
OD89,Sheeba,05-04-2017,2017,April,4,5,Bakery,Breads & Buns,1921.01,0.21,189.99,2111,9.89010989,Central,Perambalur
OD90,Krithika,17-09-2017,2017,September,9,17,Food Grains,Dals & Pulses,1427.28,0.12,450.72,1878,31.57894737,West,Madurai
OD91,Willams,17-09-2017,2017,September,9,17,"Eggs, Meat & Fish",Chicken,722.86,0.34,46.14,769,6.382978723,West,Ooty
OD92,Roshan,17-09-2017,2017,September,9,17,Beverages,Health Drinks,831.47,0.14,409.53,1241,49.25373134,West,Virudhunagar
OD93,Ravi,31-01-2016,2016,January,1,31,Food Grains,Atta & Flour,1744.96,0.14,383.04,2128,21.95121951,Central,Madurai
OD94,Ram,31-01-2016,2016,January,1,31,Fruits & Veggies,Fresh Fruits,1986.16,0.33,270.84,2257,13.63636364,Central,Namakkal
OD95,Mathew,31-01-2016,2016,January,1,31,Snacks,Chocolates,1066.55,0.28,218.45,1285,20.48192771,Central,Bodi
OD96,Veena,06-11-2018,2018,November,11,6,"Eggs, Meat & Fish",Fish,787.2,0.13,442.8,1230,56.25,West,Virudhunagar
OD97,Sudha,09-11-2018,2018,November,11,9,Food Grains,Atta & Flour,1132.16,0.21,723.84,1856,63.93442623,East,Ooty
OD98,Sharon,17-06-2018,2018,June,6,17,Fruits & Veggies,Fresh Fruits,419.65,0.31,125.35,545,29.87012987,West,Trichy
OD99,Vince,06-09-2017,2017,September,9,6,Snacks,Chocolates,1909.83,0.28,391.17,2301,20.48192771,Central,Dharmapuri
OD100,Krithika,29-08-2017,2017,August,8,29,Oil & Masala,Spices,944,0.26,531,1475,56.25,Central,Chennai
OD101,Adavan,29-08-2017,2017,August,8,29,Bakery,Cakes,1207.26,0.35,910.74,2118,75.43859649,Central,Coimbatore
OD102,Roshan,29-08-2017,2017,August,8,29,Beverages,Soft Drinks,855.12,0.17,671.88,1527,78.57142857,Central,Coimbatore
OD103,Vinne,01-12-2017,2017,December,12,1,Snacks,Chocolates,391.23,0.18,175.77,567,44.92753623,Central,Nagercoil
OD104,Amy,13-11-2016,2016,November,11,13,Fruits & Veggies,Fresh Fruits,784.89,0.27,184.11,969,23.45679012,West,Ramanadhapuram
OD105,Suresh,13-11-2016,2016,November,11,13,Food Grains,Dals & Pulses,1265,0.14,1035,2300,81.81818182,West,Karur
OD106,Komal,13-11-2016,2016,November,11,13,Oil & Masala,Masalas,1496.25,0.33,78.75,1575,5.263157895,West,Kanyakumari
OD107,Sundar,23-11-2018,2018,November,11,23,Beverages,Health Drinks,432,0.12,108,540,25,South,Cumbum
OD108,Willams,23-11-2018,2018,November,11,23,Snacks,Cookies,359.12,0.34,176.88,536,49.25373134,South,Tirunelveli
OD109,Vidya,23-11-2018,2018,November,11,23,"Eggs, Meat & Fish",Eggs,400.32,0.21,155.68,556,38.88888889,South,Tirunelveli
OD110,Shree,15-10-2016,2016,October,10,15,Fruits & Veggies,Fresh Fruits,907.83,0.16,271.17,1179,29.87012987,Central,Coimbatore
OD111,Sundar,25-12-2018,2018,December,12,25,Food Grains,Dals & Pulses,981.42,0.12,505.58,1487,51.51515152,East,Namakkal
OD112,Arvind,03-11-2017,2017,November,11,3,Bakery,Breads & Buns,2109,0.1,111,2220,5.263157895,Central,Pudukottai
OD113,Ravi,03-11-2017,2017,November,11,3,Oil & Masala,Edible Oil & Ghee,1573.15,0.3,581.85,2155,36.98630137,Central,Dindigul
OD114,Vinne,25-08-2015,2015,August,8,25,Fruits & Veggies,Fresh Vegetables,1084.76,0.1,69.24,1154,6.382978723,East,Krishnagiri
OD115,Muneer,25-08-2015,2015,August,8,25,Snacks,Noodles,2178,0.11,242,2420,11.11111111,East,Salem
OD116,Rumaiza,25-08-2015,2015,August,8,25,Snacks,Chocolates,1017.9,0.24,287.1,1305,28.20512821,East,Karur
OD117,Hussain,25-08-2015,2015,August,8,25,Fruits & Veggies,Organic Fruits,769.41,0.2,157.59,927,20.48192771,East,Bodi
OD118,Arvind,02-03-2016,2016,March,3,2,Fruits & Veggies,Organic Vegetables,796.23,0.11,186.77,983,23.45679012,West,Viluppuram
OD119,Akash,05-04-2016,2016,April,4,5,Food Grains,Rice,812.7,0.1,90.3,903,11.11111111,South,Chennai
OD120,Ganesh,12-06-2017,2017,June,6,12,"Eggs, Meat & Fish",Chicken,1160.9,0.12,74.1,1235,6.382978723,East,Cumbum
OD121,Alan,12-06-2017,2017,June,6,12,Fruits & Veggies,Organic Vegetables,1068.98,0.24,174.02,1243,16.27906977,East,Tirunelveli
OD122,Harish,12-06-2017,2017,June,6,12,Bakery,Cakes,447.81,0.34,201.19,649,44.92753623,East,Krishnagiri
OD123,Veronica,12-06-2017,2017,June,6,12,"Eggs, Meat & Fish",Mutton,2165.68,0.11,188.32,2354,8.695652174,East,Tenkasi
OD124,Anu,12-06-2017,2017,June,6,12,Beverages,Soft Drinks,1255.41,0.27,187.59,1443,14.94252874,East,Cumbum
OD125,Sudeep,26-12-2015,2015,December,12,26,Bakery,Breads & Buns,585,0.26,390,975,66.66666667,Central,Madurai
OD126,Yusuf,20-09-2015,2015,September,9,20,Fruits & Veggies,Organic Vegetables,817.88,0.19,71.12,889,8.695652174,Central,Virudhunagar
OD127,Shah,05-11-2018,2018,November,11,5,"Eggs, Meat & Fish",Mutton,1481.76,0.17,870.24,2352,58.73015873,West,Karur
OD128,Harish,05-11-2018,2018,November,11,5,Oil & Masala,Spices,956.82,0.23,336.18,1293,35.13513514,West,Tirunelveli
OD129,Sharon,06-11-2017,2017,November,11,6,Food Grains,Rice,860.22,0.29,597.78,1458,69.49152542,West,Bodi
OD130,Peer,06-11-2017,2017,November,11,6,Food Grains,Atta & Flour,1674.93,0.22,126.07,1801,7.52688172,West,Coimbatore
OD131,Haseena,02-02-2018,2018,February,2,2,Snacks,Chocolates,844.87,0.29,416.13,1261,49.25373134,East,Tenkasi
OD132,Sundar,02-02-2018,2018,February,2,2,Beverages,Soft Drinks,2006.4,0.28,105.6,2112,5.263157895,East,Nagercoil
OD133,Ram,02-02-2018,2018,February,2,2,"Eggs, Meat & Fish",Fish,499.2,0.24,140.8,640,28.20512821,East,Ramanadhapuram
OD134,Shah,13-10-2017,2017,October,10,13,Bakery,Cakes,1342.98,0.12,315.02,1658,23.45679012,West,Tenkasi
OD135,Harish,13-10-2017,2017,October,10,13,Beverages,Health Drinks,1708.56,0.18,664.44,2373,38.88888889,West,Ramanadhapuram
OD136,Veena,13-10-2017,2017,October,10,13,Fruits & Veggies,Organic Fruits,915.2,0.19,514.8,1430,56.25,West,Cumbum
OD137,Sundar,13-10-2017,2017,October,10,13,Oil & Masala,Spices,1198.72,0.3,674.28,1873,56.25,West,Viluppuram
OD138,Jackson,13-10-2017,2017,October,10,13,"Eggs, Meat & Fish",Eggs,537.54,0.14,329.46,867,61.29032258,West,Theni
OD139,Malik,13-10-2017,2017,October,10,13,Snacks,Noodles,616.56,0.19,484.44,1101,78.57142857,West,Theni
OD140,Hussain,13-10-2017,2017,October,10,13,"Eggs, Meat & Fish",Mutton,663.68,0.28,424.32,1088,63.93442623,West,Ooty
OD141,Veena,05-09-2017,2017,September,9,5,Bakery,Biscuits,484.96,0.32,381.04,866,78.57142857,East,Perambalur
OD142,Aditi,18-09-2018,2018,September,9,18,Oil & Masala,Masalas,2259.53,0.14,223.47,2483,9.89010989,West,Tirunelveli
OD143,Surya,18-09-2018,2018,September,9,18,Food Grains,Atta & Flour,1041.3,0.11,293.7,1335,28.20512821,West,Kanyakumari
OD144,Sharon,18-09-2018,2018,September,9,18,"Eggs, Meat & Fish",Fish,512.55,0.24,252.45,765,49.25373134,West,Tenkasi
OD145,Vinne,22-12-2018,2018,December,12,22,"Eggs, Meat & Fish",Mutton,1778.22,0.2,624.78,2403,35.13513514,Central,Tenkasi
OD146,Malik,07-09-2016,2016,September,9,7,Oil & Masala,Edible Oil & Ghee,977.13,0.13,573.87,1551,58.73015873,West,Coimbatore
OD147,Ridhesh,22-10-2015,2015,October,10,22,Food Grains,Organic Staples,1376.32,0.27,187.68,1564,13.63636364,East,Theni
OD148,Harish,05-12-2017,2017,December,12,5,Fruits & Veggies,Fresh Vegetables,832.5,0.33,292.5,1125,35.13513514,Central,Tirunelveli
OD149,Veronica,05-12-2017,2017,December,12,5,Beverages,Health Drinks,583.68,0.1,184.32,768,31.57894737,Central,Tenkasi
OD150,Ravi,05-12-2017,2017,December,12,5,"Eggs, Meat & Fish",Fish,1250.55,0.26,734.45,1985,58.73015873,Central,Vellore
OD151,Muneer,05-12-2017,2017,December,12,5,Food Grains,Rice,1257.85,0.13,1029.15,2287,81.81818182,Central,Bodi
OD152,Jackson,13-03-2017,2017,March,3,13,Snacks,Chocolates,680.72,0.34,335.28,1016,49.25373134,West,Pudukottai
OD153,Amy,13-03-2017,2017,March,3,13,Snacks,Cookies,775.32,0.26,76.68,852,9.89010989,West,Namakkal
OD154,Ram,31-05-2016,2016,May,5,31,Food Grains,Organic Staples,998.73,0.28,234.27,1233,23.45679012,West,Ramanadhapuram
OD155,Jonas,31-05-2016,2016,May,5,31,Snacks,Noodles,1609.92,0.14,626.08,2236,38.88888889,West,Pudukottai
OD156,Ramesh,31-05-2016,2016,May,5,31,Fruits & Veggies,Fresh Vegetables,1378.44,0.32,809.56,2188,58.73015873,West,Viluppuram
OD157,Peer,28-05-2016,2016,May,5,28,Snacks,Cookies,657.26,0.2,456.74,1114,69.49152542,West,Coimbatore
OD158,Komal,01-03-2015,2015,March,3,1,Oil & Masala,Edible Oil & Ghee,1153.1,0.15,620.9,1774,53.84615385,West,Salem
OD159,Amy,20-11-2017,2017,November,11,20,Beverages,Soft Drinks,1323.84,0.21,1040.16,2364,78.57142857,Central,Karur
OD160,Amrish,20-11-2017,2017,November,11,20,Food Grains,Dals & Pulses,1338.3,0.11,148.7,1487,11.11111111,Central,Madurai
OD161,Yadav,11-05-2017,2017,May,5,11,Beverages,Soft Drinks,520.49,0.3,192.51,713,36.98630137,West,Ooty
OD162,Vinne,28-12-2016,2016,December,12,28,"Eggs, Meat & Fish",Fish,456.94,0.2,280.06,737,61.29032258,East,Kanyakumari
OD163,Amrish,16-11-2017,2017,November,11,16,Snacks,Chocolates,662.64,0.26,341.36,1004,51.51515152,West,Trichy
OD164,Hussain,07-11-2017,2017,November,11,7,Snacks,Cookies,1394.72,0.32,121.28,1516,8.695652174,West,Theni
OD165,Haseena,08-09-2015,2015,September,9,8,Food Grains,Atta & Flour,836.36,0.28,605.64,1442,72.4137931,Central,Ramanadhapuram
OD166,Sudha,08-09-2015,2015,September,9,8,Beverages,Health Drinks,1267.5,0.33,422.5,1690,33.33333333,Central,Madurai
OD167,Adavan,08-09-2015,2015,September,9,8,Snacks,Chocolates,1677.43,0.13,343.57,2021,20.48192771,Central,Bodi
OD168,Aditi,08-09-2015,2015,September,9,8,"Eggs, Meat & Fish",Mutton,1848.6,0.25,491.4,2340,26.58227848,Central,Ooty
OD169,Krithika,08-09-2015,2015,September,9,8,Oil & Masala,Spices,528.75,0.15,176.25,705,33.33333333,Central,Viluppuram
OD170,Sharon,08-09-2015,2015,September,9,8,"Eggs, Meat & Fish",Chicken,1154.25,0.2,60.75,1215,5.263157895,Central,Trichy
OD171,Akash,08-09-2015,2015,September,9,8,Food Grains,Dals & Pulses,314.64,0.25,237.36,552,75.43859649,Central,Krishnagiri
OD172,Sabeela,05-08-2015,2015,August,8,5,Beverages,Health Drinks,847.2,0.11,564.8,1412,66.66666667,West,Tirunelveli
OD173,Surya,05-08-2015,2015,August,8,5,Food Grains,Dals & Pulses,640.71,0.32,150.29,791,23.45679012,West,Tirunelveli
OD174,Alan,05-08-2015,2015,August,8,5,Fruits & Veggies,Organic Vegetables,2055.08,0.33,420.92,2476,20.48192771,West,Viluppuram
OD175,Aditi,14-09-2015,2015,September,9,14,Fruits & Veggies,Fresh Vegetables,1275.31,0.27,471.69,1747,36.98630137,Central,Karur
OD176,Shah,14-09-2015,2015,September,9,14,Fruits & Veggies,Organic Fruits,1124.61,0.15,848.39,1973,75.43859649,Central,Pudukottai
OD177,Mathew,21-04-2018,2018,April,4,21,Oil & Masala,Spices,1478.25,0.24,546.75,2025,36.98630137,Central,Krishnagiri
OD178,Rumaiza,21-11-2016,2016,November,11,21,Snacks,Noodles,792.48,0.29,223.52,1016,28.20512821,East,Vellore
OD179,Arvind,21-11-2016,2016,November,11,21,Fruits & Veggies,Organic Fruits,633.88,0.3,55.12,689,8.695652174,East,Trichy
OD180,Krithika,15-12-2016,2016,December,12,15,Food Grains,Atta & Flour,978.28,0.16,343.72,1322,35.13513514,East,Karur
OD181,Arvind,05-12-2015,2015,December,12,5,Snacks,Cookies,1171.65,0.25,433.35,1605,36.98630137,Central,Bodi
OD182,Ravi,05-12-2015,2015,December,12,5,Beverages,Health Drinks,1546.2,0.2,171.8,1718,11.11111111,Central,Namakkal
OD183,Jonas,19-11-2015,2015,November,11,19,Oil & Masala,Edible Oil & Ghee,1393.28,0.35,783.72,2177,56.25,South,Madurai
OD184,Surya,19-11-2015,2015,November,11,19,Food Grains,Organic Staples,341.02,0.19,236.98,578,69.49152542,South,Cumbum
OD185,Amrish,19-11-2015,2015,November,11,19,Food Grains,Dals & Pulses,586.5,0.28,195.5,782,33.33333333,South,Dindigul
OD186,Shah,28-11-2017,2017,November,11,28,Snacks,Noodles,1290.84,0.35,97.16,1388,7.52688172,East,Chennai
OD187,Krithika,26-08-2015,2015,August,8,26,Bakery,Cakes,1471.6,0.21,792.4,2264,53.84615385,West,Cumbum
OD188,Anu,16-07-2017,2017,July,7,16,Beverages,Soft Drinks,674.79,0.16,138.21,813,20.48192771,Central,Pudukottai
OD189,Yusuf,16-07-2017,2017,July,7,16,Fruits & Veggies,Organic Fruits,1450.8,0.24,564.2,2015,38.88888889,Central,Madurai
OD190,Rumaiza,12-10-2016,2016,October,10,12,Beverages,Soft Drinks,960.11,0.3,472.89,1433,49.25373134,East,Vellore
OD191,Amrish,12-10-2016,2016,October,10,12,Fruits & Veggies,Organic Fruits,1758.12,0.11,334.88,2093,19.04761905,East,Chennai
OD192,Muneer,12-10-2016,2016,October,10,12,Fruits & Veggies,Fresh Vegetables,1525.79,0.17,623.21,2149,40.84507042,East,Chennai
OD193,Anu,12-10-2016,2016,October,10,12,Beverages,Health Drinks,1557.88,0.32,414.12,1972,26.58227848,East,Dharmapuri
OD194,Suresh,12-10-2016,2016,October,10,12,Oil & Masala,Masalas,1627.4,0.25,432.6,2060,26.58227848,East,Dharmapuri
OD195,Peer,31-10-2016,2016,October,10,31,"Eggs, Meat & Fish",Eggs,834.25,0.12,340.75,1175,40.84507042,West,Tirunelveli
OD196,Sundar,21-03-2015,2015,March,3,21,Oil & Masala,Edible Oil & Ghee,814.86,0.25,191.14,1006,23.45679012,East,Theni
OD197,Sudeep,21-03-2015,2015,March,3,21,Bakery,Breads & Buns,1028.57,0.16,380.43,1409,36.98630137,East,Karur
OD198,Verma,06-11-2018,2018,November,11,6,Food Grains,Organic Staples,575.82,0.34,338.18,914,58.73015873,East,Pudukottai
OD199,Surya,06-07-2018,2018,July,7,6,"Eggs, Meat & Fish",Mutton,824.72,0.3,527.28,1352,63.93442623,East,Tirunelveli
OD200,Sudha,06-07-2018,2018,July,7,6,"Eggs, Meat & Fish",Eggs,511.5,0.25,170.5,682,33.33333333,East,Trichy
OD201,James,24-06-2018,2018,June,6,24,Food Grains,Organic Staples,1494.68,0.22,243.32,1738,16.27906977,East,Tirunelveli
